Strain	Abs	Fluor	Rep	Treat
SCK1	0.366	2039	1	minus
SCK1	0.638	29045	1	plus
SCK1	0.359	15130	1	kill
SCK1	0.42	2290	2	minus
SCK1	0.714	31372	2	plus
SCK1	0.386	13546	2	kill
SCK1	0.358	2282	3	minus
SCK1	0.567	33788	3	plus
SCK1	0.323	14547	3	kill
SCK2	0.565	1512	1	minus
SCK2	0.917	30333	1	plus
SCK2	0.614	3021	1	kill
SCK2	0.539	1662	2	minus
SCK2	0.987	52918	2	plus
SCK2	0.525	2499	2	kill
SCK2	0.47	1495	3	minus
SCK2	0.712	51764	3	plus
SCK2	0.407	2505	3	kill
SCK3	0.255	1613	1	minus
SCK3	0.501	22221	1	plus
SCK3	0.262	4108	1	kill
SCK3	0.245	1835	2	minus
SCK3	0.542	24300	2	plus
SCK3	0.295	4674	2	kill
SCK3	0.248	1636	3	minus
SCK3	0.467	26878	3	plus
SCK3	0.189	4288	3	kill
SCF1	0.131	1459	1	minus
SCF1	0.496	23202	1	plus
SCF1	0.242	2977	1	kill
SCF1	0.169	1645	2	minus
SCF1	0.463	23738	2	plus
SCF1	0.284	2793	2	kill
SCF1	0.123	1574	3	minus
SCF1	0.39	24246	3	plus
SCF1	0.146	2794	3	kill
SCF2	0.226	1957	1	minus
SCF2	0.38	17178	1	plus
SCF2	0.221	3036	1	kill
SCF2	0.143	1897	2	minus
SCF2	0.397	21379	2	plus
SCF2	0.235	2606	2	kill
SCF2	0.148	2027	3	minus
SCF2	0.338	23527	3	plus
SCF2	0.102	2717	3	kill
SCB1	0.157	1831	1	minus
SCB1	0.679	48254	1	plus
SCB1	0.221	3073	1	kill
SCB1	0.167	1641	2	minus
SCB1	0.795	47843	2	plus
SCB1	0.276	2745	2	kill
SCB1	0.153	1714	3	minus
SCB1	0.663	47718	3	plus
SCB1	0.139	3153	3	kill
SCK4	0.181	1586	1	minus
SCK4	0.639	41262	1	plus
SCK4	0.32	10424	1	kill
SCK4	0.177	1622	2	minus
SCK4	0.657	42403	2	plus
SCK4	0.379	8932	2	kill
SCK4	0.164	1911	3	minus
SCK4	0.585	44895	3	plus
SCK4	0.23	10342	3	kill
SCK5	0.129	1326	1	minus
SCK5	0.358	25725	1	plus
SCK5	0.205	1365	1	kill
SCK5	0.159	1167	2	minus
SCK5	0.573	24924	2	plus
SCK5	0.272	1241	2	kill
SCK5	0.114	1383	3	minus
SCK5	0.419	26913	3	plus
SCK5	0.14	1570	3	kill
SCK6	0.096	1436	1	minus
SCK6	0.232	15161	1	plus
SCK6	0.107	7243	1	kill
SCK6	0.162	1591	2	minus
SCK6	0.27	13284	2	plus
SCK6	0.112	6419	2	kill
SCK6	0.082	1518	3	minus
SCK6	0.191	15215	3	plus
SCK6	0.122	6099	3	kill
Ecoli	0.17	2886	1	minus
Ecoli	0.303	20183	1	plus
Ecoli	0.149	3361	1	kill
Ecoli	0.21	2738	2	minus
Ecoli	0.411	20691	2	plus
Ecoli	0.136	2837	2	kill
Ecoli	0.143	2916	3	minus
Ecoli	0.281	20890	3	plus
Ecoli	0.133	3401	3	kill
