sample	application	pretreat	habitat	Rpf.nm	treatment	dilution	inoc.uL	CFU
1	pretreat	2	neck	410	control	-2	100	13
1	pretreat	2	neck	410	control	-2	100	13
1	pretreat	2	neck	410	control	-2	100	14
1	pretreat	2	neck	410	RPF	-2	100	148
1	pretreat	2	neck	410	RPF	-2	100	223
1	pretreat	2	neck	410	RPF	-2	100	250
2	pretreat	7	forearm	410	control	-3	100	188
2	pretreat	7	forearm	410	control	-3	100	157
2	pretreat	7	forearm	410	control	-3	100	173
2	pretreat	7	forearm	410	RPF	-3	100	405
2	pretreat	7	forearm	410	RPF	-3	100	434
2	pretreat	7	forearm	410	RPF	-3	100	463
3	pretreat	7	neck	314	control	-4	100	75
3	pretreat	7	neck	314	control	-4	100	125
3	pretreat	7	neck	314	control	-4	100	99
3	pretreat	7	neck	314	RPF	-4	100	401
3	pretreat	7	neck	314	RPF	-4	100	334
3	pretreat	7	neck	314	RPF	-4	100	347
4	pretreat	2	neck	410	control	-2	100	50
4	pretreat	2	neck	410	control	-2	100	53
4	pretreat	2	neck	410	control	-2	100	63
4	pretreat	2	neck	410	control	-2	100	74
4	pretreat	2	neck	410	RPF	-2	100	656
4	pretreat	2	neck	410	RPF	-2	100	696
4	pretreat	2	neck	341	RPF	-2	100	664
4	pretreat	2	neck	341	RPF	-2	100	364
5	pretreat	2	neck	341	control	-2	100	21
5	pretreat	2	neck	341	control	-2	100	14
5	pretreat	2	neck	341	control	-2	100	9
5	pretreat	2	neck	341	control	-2	100	2
5	pretreat	2	neck	341	RPF	-2	100	2900
5	pretreat	2	neck	341	RPF	-2	100	2100
5	pretreat	2	neck	341	RPF	-2	100	3300
5	pretreat	2	neck	341	RPF	-2	100	4000
6	media	0	neck	114	control	-2	100	87
6	media	0	neck	114	RPF	-2	100	229
7	pretreat	2	neck	393	control	-2	100	39
7	pretreat	2	neck	393	control	-2	100	134
7	pretreat	2	neck	393	control	-2	100	52
7	pretreat	2	neck	393	control	-2	100	30
7	pretreat	2	neck	393	RPF	-2	100	668
7	pretreat	2	neck	393	RPF	-2	100	820
7	pretreat	2	neck	393	RPF	-2	100	812
7	pretreat	2	neck	393	RPF	-2	100	748
